experiment,mode,model,shape,mean_ms,std_ms,min_ms,max_ms,compile_s,peak_mem_mb,max_diff,notes
bladedisc,eager,BERT-base,"batch=1, seq=32",20.405929565429688,5.994333744049072,12.581260681152344,36.06836700439453,,428.6064453125,,
bladedisc,jit,BERT-base,"batch=1, seq=32",12.357653617858887,4.355223655700684,6.934304237365723,28.440021514892578,,428.4189453125,,
bladedisc,eager,BERT-base,"batch=1, seq=64",22.21312713623047,6.697848796844482,12.47697639465332,45.85580062866211,,429.35791015625,,
bladedisc,jit,BERT-base,"batch=1, seq=64",12.506473541259766,2.8742051124572754,8.298455238342285,23.16097640991211,,428.9814453125,,
bladedisc,eager,BERT-base,"batch=1, seq=128",25.265657424926758,7.906974792480469,15.813708305358887,61.69843292236328,,431.984375,,
bladedisc,jit,BERT-base,"batch=1, seq=128",22.929637908935547,5.482265472412109,17.238187789916992,49.26708221435547,,431.23291015625,,
bladedisc,eager,BERT-base,"batch=1, seq=256",42.166259765625,8.33787727355957,31.870805740356445,82.73519134521484,,438.1142578125,,
bladedisc,jit,BERT-base,"batch=1, seq=256",35.25538635253906,3.4368913173675537,28.4935302734375,52.34724044799805,,434.361328125,,
bladedisc,eager,BERT-base,"batch=2, seq=32",37.19070816040039,19.426063537597656,17.71187400817871,116.45486450195312,,429.3623046875,,
bladedisc,jit,BERT-base,"batch=2, seq=32",13.673396110534668,4.113933563232422,8.515568733215332,28.477813720703125,,428.9814453125,,
bladedisc,eager,BERT-base,"batch=2, seq=64",29.719697952270508,12.321481704711914,16.03970718383789,90.48824310302734,,431.984375,,
bladedisc,jit,BERT-base,"batch=2, seq=64",21.713388442993164,2.850370168685913,16.857498168945312,31.16219711303711,,431.23291015625,,
bladedisc,eager,BERT-base,"batch=2, seq=128",36.18817901611328,4.510096549987793,27.41788673400879,51.29561233520508,,436.1142578125,,
bladedisc,jit,BERT-base,"batch=2, seq=128",33.343448638916016,2.401435375213623,30.20663070678711,42.418949127197266,,433.611328125,,
bladedisc,eager,BERT-base,"batch=2, seq=256",67.39222717285156,5.199417591094971,61.657936096191406,106.12012481689453,,452.8740234375,,
bladedisc,jit,BERT-base,"batch=2, seq=256",63.066993713378906,2.407107353210449,57.85363006591797,74.6014633178711,,442.8681640625,,
bladedisc,bladedisc,BERT-base,"batch=1, seq=32",18.798751831054688,7.84872579574585,6.947853088378906,45.052738189697266,437.84207075599994,847.33447265625,2.384185791015625e-06,speedup=1.09x vs eager
bladedisc,bladedisc,BERT-base,"batch=1, seq=64",14.28277587890625,4.2592339515686035,7.999897003173828,29.213144302368164,437.84207075599994,848.09033203125,2.9802322387695312e-06,speedup=1.56x vs eager
bladedisc,bladedisc,BERT-base,"batch=1, seq=128",21.88098907470703,2.965573310852051,16.96855926513672,34.91936111450195,437.84207075599994,850.529296875,3.5762786865234375e-06,speedup=1.15x vs eager
bladedisc,bladedisc,BERT-base,"batch=1, seq=256",35.39048385620117,4.395600318908691,26.660945892333984,62.33623123168945,437.84207075599994,854.03271484375,3.4570693969726562e-06,speedup=1.19x vs eager
bladedisc,bladedisc,BERT-base,"batch=2, seq=32",23.890609741210938,8.527300834655762,9.063728332519531,51.74494552612305,437.84207075599994,849.40283203125,2.7418136596679688e-06,speedup=1.56x vs eager
bladedisc,bladedisc,BERT-base,"batch=2, seq=64",21.736074447631836,5.11061954498291,15.462254524230957,35.23488235473633,437.84207075599994,850.53515625,2.9206275939941406e-06,speedup=1.37x vs eager
bladedisc,bladedisc,BERT-base,"batch=2, seq=128",32.5523567199707,4.109283924102783,27.789257049560547,52.700103759765625,437.84207075599994,853.28857421875,3.2186508178710938e-06,speedup=1.11x vs eager
bladedisc,bladedisc,BERT-base,"batch=2, seq=256",61.716773986816406,4.4231181144714355,57.43047332763672,94.21282958984375,437.84207075599994,863.29541015625,3.5762786865234375e-06,speedup=1.09x vs eager
